access_denied_text	Access to this page has been restricted.	Access denied text.	General
access_denied_text_fade	<h3>Continue reading</h3>&#13;&#10;<p>Please <a href="#">Login</a> to see full post.</p>	Access denied with fade text.	General
access_denied_text_for_archive_page	This item is restricted.	Access denied text for archive page.	General
